strategy_id,symbol,timeframe,bars,status,windows,n_trials,oos_sharpe,mean_oos_objective,worst_oos_objective,profitable_windows,distinct_param_sets,most_common_share,deflated_sharpe,pbo,passes_guard,verdict
momentum_v2,BTC-USD,4h,4000,ok,4,9,0.003682044264223297,0.3331069103147296,-1.9982900313277259,3,3,0.5,0.6878738218326959,0.5873015873015873,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.59, deflated Sharpe 0.69, 9 trials)"
momentum_v2,BTC-USD,1d,939,ok,2,9,-0.11500181084582042,-2.6726689046099796,-3.1640213847629433,0,2,0.5,0.5877055145420277,0.8373015873015873,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.84, deflated Sharpe 0.59, 9 trials)"
momentum_v2,ETH-USD,4h,4000,ok,4,9,0.030423152656876323,1.4096932067425783,-1.3902992323398116,3,3,0.5,0.7873873659866087,0.4523809523809524,True,"survives the overfitting gauntlet (PBO 0.45, deflated Sharpe 0.79, 9 trials)"
momentum_v2,ETH-USD,1d,900,ok,2,9,0.05282859578439678,0.9630906984013805,0.5403524685611355,2,2,0.5,0.6097979050062267,0.30158730158730157,True,"survives the overfitting gauntlet (PBO 0.30, deflated Sharpe 0.61, 9 trials)"
momentum_v2,SOL-USD,4h,4000,ok,4,9,0.0172553402635952,0.5837953664373493,-2.3067558344078756,2,3,0.5,0.5009597498625398,0.6507936507936508,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.65, deflated Sharpe 0.50, 9 trials)"
momentum_v2,SOL-USD,1d,838,ok,2,9,0.04900307608954699,0.49783968201321127,-1.3718649902909326,1,2,0.5,0.2945516242092044,0.8055555555555556,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.81, deflated Sharpe 0.29, 9 trials)"
